claim_id,policy_id,customer_id,claim_date_key,claim_type,claim_status,claim_amount,incurred_date,settled_date
745,1034,1396,20250316,Fire,Paid,1065.43,2025-03-16,2025-04-09
746,4037,2904,20240117,Storm Damage,Approved,18976.91,2024-01-17,2024-02-05
747,1722,223,20240615,Water Damage,Approved,21345.9,2024-06-15,2024-07-25
748,2438,2923,20220727,Collision,Rejected,3226.12,2022-07-27,
749,4072,143,20241215,Collision,Paid,4448.07,2024-12-15,2025-01-26
750,2796,2756,20231024,Fire,Rejected,4409.53,2023-10-24,
751,528,1387,20260519,Fire,Paid,3732.89,2026-05-19,2026-06-18
752,4223,1180,20250605,Water Damage,Approved,21610.44,2025-06-05,2025-07-02
753,2812,2901,20210514,Collision,Paid,6365.17,2021-05-14,2021-05-17
754,1492,275,20250719,Medical,Paid,1970.84,2025-07-19,2025-08-07
755,629,1846,20210526,Trip Cancellation,Open,2353.44,2021-05-26,
756,3559,320,20231022,Windscreen,Paid,7345.35,2023-10-22,2023-11-23
757,2778,1383,20251214,Flight Delay,Approved,1811.87,2025-12-14,2025-12-17
758,2395,2062,20231001,Fire,Paid,1164.26,2023-10-01,2023-11-14
759,4010,1897,20240220,Storm Damage,Paid,10745.85,2024-02-20,2024-02-27
760,3537,1402,20250327,Collision,Paid,1222.61,2025-03-27,2025-05-10
761,685,1874,20270424,Theft,Paid,5499.56,2027-04-24,2027-05-07
762,1393,2349,20261019,Fire,Paid,2740.86,2026-10-19,2026-10-27
763,1111,969,20221106,Fire,Open,3304.35,2022-11-06,
764,3339,1744,20250501,Theft,Open,24341.85,2025-05-01,
765,153,108,20250208,Theft,Paid,1737.59,2025-02-08,2025-02-24
766,2553,2200,20231225,Windscreen,Paid,397.28,2023-12-25,2024-01-30
767,3418,2245,20260718,Collision,Paid,3750.43,2026-07-18,2026-08-15
768,3936,2568,20260101,Flight Delay,Approved,1360.99,2026-01-01,2026-01-27
769,1524,2392,20270205,Baggage Loss,Paid,1725.24,2027-02-05,2027-02-21
770,3680,1725,20250604,Fire,Rejected,401.5,2025-06-04,
771,502,2373,20231115,Water Damage,Paid,1344.73,2023-11-15,2023-12-17
772,3795,1810,20231207,Theft,Paid,20191.01,2023-12-07,2024-01-03
773,577,1884,20260417,Theft,Paid,22568.8,2026-04-17,2026-05-28
774,1784,763,20230331,Storm Damage,Approved,10333.26,2023-03-31,2023-04-07
775,3575,887,20240809,Collision,Paid,424.14,2024-08-09,2024-08-19
776,676,553,20230206,Fire,Paid,3333.44,2023-02-06,2023-03-11
777,1020,1894,20230308,Theft,Paid,307.06,2023-03-08,2023-03-22
778,3239,672,20230217,Theft,Paid,19358.36,2023-02-17,2023-03-19
779,3230,1219,20240103,Theft,Paid,8091.43,2024-01-03,2024-01-21
780,2872,837,20220906,Theft,Approved,7940.2,2022-09-06,2022-09-15
781,3115,454,20230703,Theft,Approved,5140.3,2023-07-03,2023-07-31
782,2434,2228,20251009,Collision,Open,1520.97,2025-10-09,
783,1126,244,20251010,Collision,Open,4700.77,2025-10-10,
784,1542,2113,20240212,Fire,Rejected,2799.73,2024-02-12,
785,813,319,20241203,Collision,Paid,3668.23,2024-12-03,2024-12-26
786,4081,684,20250904,Theft,Paid,3490.15,2025-09-04,2025-10-16
787,2616,2381,20260415,Medical,Rejected,2494.17,2026-04-15,
788,1802,2524,20211224,Fire,Paid,3091.76,2021-12-24,2022-01-05
789,2073,143,20220106,Theft,Paid,5750.86,2022-01-06,2022-02-20
790,4257,1835,20210317,Storm Damage,Approved,2663.78,2021-03-17,2021-03-20
791,691,1785,20211105,Windscreen,Paid,7541.01,2021-11-05,2021-12-10
792,2630,2352,20220206,Collision,Paid,3433.43,2022-02-06,2022-02-11
793,2271,2426,20230123,Collision,Open,4505.61,2023-01-23,
794,2743,151,20230704,Fire,Open,757.4,2023-07-04,
795,85,1421,20251214,Fire,Approved,16473.07,2025-12-14,2026-01-17
796,3916,1239,20260805,Fire,Paid,21933.23,2026-08-05,2026-09-04
797,4190,2253,20230105,Fire,Approved,4215.03,2023-01-05,2023-02-10
798,2532,1678,20240429,Collision,Paid,1309.46,2024-04-29,2024-06-09
799,3127,923,20240323,Fire,Open,5019.55,2024-03-23,
800,4146,2357,20210705,Fire,Paid,2796.47,2021-07-05,2021-08-19
